Model Params: 30.03M
Trainable Params: 30.025M
策略模型总参数量：30.025 M
Model Params: 30.03M
Trainable Params: 30.025M
参考模型总参数量：30.025 M
Generating train split: 0 examples [00:00, ? examples/s]Generating train split: 17166 examples [00:00, 167057.45 examples/s]Generating train split: 17166 examples [00:00, 166411.48 examples/s]
Epoch:[1/1](840/4292), loss: 0.5991, dpo_loss: 0.5991, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 6.000min
Epoch:[1/1](860/4292), loss: 0.8766, dpo_loss: 0.8766, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](880/4292), loss: 0.5866, dpo_loss: 0.5866, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](900/4292), loss: 0.6156, dpo_loss: 0.6156, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](920/4292), loss: 0.6197, dpo_loss: 0.6197, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](940/4292), loss: 0.6419, dpo_loss: 0.6419, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](960/4292), loss: 0.5691, dpo_loss: 0.5691, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](980/4292), loss: 0.7194, dpo_loss: 0.7194, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](1000/4292), loss: 0.5056, dpo_loss: 0.5056, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](1020/4292), loss: 0.6282, dpo_loss: 0.6282, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](1040/4292), loss: 0.6043, dpo_loss: 0.6043, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 5.000min
Epoch:[1/1](1060/4292), loss: 0.6749, dpo_loss: 0.6749, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1080/4292), loss: 0.5700, dpo_loss: 0.5700, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1100/4292), loss: 0.7940, dpo_loss: 0.7940, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1120/4292), loss: 0.6568, dpo_loss: 0.6568, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1140/4292), loss: 0.8150, dpo_loss: 0.8150, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1160/4292), loss: 0.5631, dpo_loss: 0.5631, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1180/4292), loss: 0.6838, dpo_loss: 0.6838, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1200/4292), loss: 0.5793, dpo_loss: 0.5793, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1220/4292), loss: 0.6564, dpo_loss: 0.6564, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1240/4292), loss: 0.5101, dpo_loss: 0.5101, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1260/4292), loss: 0.6784, dpo_loss: 0.6784, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1280/4292), loss: 0.6252, dpo_loss: 0.6252, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1300/4292), loss: 0.5798, dpo_loss: 0.5798, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1320/4292), loss: 0.5257, dpo_loss: 0.5257, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
Epoch:[1/1](1340/4292), loss: 0.6502, dpo_loss: 0.6502, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 5.000min
